Core_id,Ranking,University,Country,City,Region,Score,logo
922,801-1000,Pondicherry University,India,Puducherry,Asia,,https://www.topuniversities.com/sites/default/files/pondicherry-university_592560cf2aeae70239af4e1d_small.jpg
2565,801-1000,Pontificia Universidad Católica del Ecuador (PUCE),Ecuador,Quito,Latin America,,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-del-ecuador-puce_592560cf2aeae70239af5489_small.jpg
2567,801-1000,Pontifícia Universidade Católica de São Paulo,Brazil,São Paulo,Latin America,,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-de-so-paulo_592560cf2aeae70239af549d_small.jpg
25662,801-1000,Poznan University of Technology,Poland,Poznan,Europe,,https://www.topuniversities.com/sites/default/files/uniwersytet-ekonomiczny-w-poznaniu_592560e59988f300e2321bdb_small.jpg
507,801-1000,Prince of Songkla University,Thailand,Hat Yai,Asia,,https://www.topuniversities.com/sites/default/files/prince-of-songkla-university_507_small.jpg
14978,801-1000,Princess Sumaya University for Technology,Jordan,Amman,Asia,,https://www.topuniversities.com/sites/default/files/211107084721am862411PSUT-Logo-Stacked-RGB-48x48.jpg
2139,801-1000,Qassim University,Saudi Arabia,Buraydah,Asia,,https://www.topuniversities.com/sites/default/files/qassim-university_592560cf2aeae70239af52de_small.jpg
1676,801-1000,"Queen Margaret University , Edinburgh",United Kingdom,Musselburgh,Europe,,https://www.topuniversities.com/sites/default/files/queen-margaret-university-edinburgh_1676_small.jpg
1217,801-1000,Rhodes University ,South Africa,Grahamstown,Africa,,https://www.topuniversities.com/sites/default/files/rhodes-university-_592560cf2aeae70239af4f44_small.jpg
2774,801-1000,Riga Stradins University,Latvia,Riga,Europe,,https://www.topuniversities.com/sites/default/files/rga-stradi-university_592560cf2aeae70239af5559_small.jpg
1022,801-1000,Ritsumeikan Asia Pacific University ,Japan,Beppu City,Asia,,https://www.topuniversities.com/sites/default/files/ritsumeikan-asia-pacific-university-_592560cf2aeae70239af4e82_small.jpg
529,801-1000,Robert Gordon University,United Kingdom,Aberdeen,Europe,,https://www.topuniversities.com/sites/default/files/robert-gordon-university_529_small.jpg
14961,801-1000,Russian Presidential Academy of National Economy and Public Administration,Russia,Moscow,Europe,,https://www.topuniversities.com/sites/default/files/russian-presidential-academy-of-national-economy-and-public-administration_14961_small.jpg
25484,801-1000,Russian-Armenian University (RAU),Armenia,Yerevan,Asia,,https://www.topuniversities.com/sites/default/files/russian-armenian-university_592560cf2aeae70239af5a4f_small.jpg
2093,801-1000,Rutgers University–Newark,United States,Newark,North America,,https://www.topuniversities.com/sites/default/files/rutgers-the-state-university-of-new-jersey_592560cf2aeae70239af52b1_small.jpg
1763,801-1000,Toronto Metropolitan University,Canada,Toronto,North America,,https://www.topuniversities.com/sites/default/files/220523061713am665369Toronto-Metropolitan-48x48.jpg
15265,801-1000,Saint-Petersburg Mining University,Russia,St. Petersburg,Europe,,https://www.topuniversities.com/sites/default/files/saint-petersburg-mining-university_15265_small.png
1025,801-1000,Shinshu University ,Japan,Matsumoto City,Asia,,https://www.topuniversities.com/sites/default/files/shinshu-university-_592560cf2aeae70239af4e84_small.jpg
36972,801-1000,Shoolini University of Biotechnology and Management Sciences,India,Solan,Asia,,https://www.topuniversities.com/sites/default/files/shoolini-university-of-biotechnology-and-management-sciences_5b278febcb4de72fdd143864_small.jpg
14351,801-1000,Slovak University of Technology in Bratislava,Slovakia,Bratislava,Europe,,https://www.topuniversities.com/sites/default/files/slovak-university-of-technology-in-bratislava_592560cf2aeae70239af567c_small.jpg
1027,801-1000,Sophia University ,Japan,Tokyo,Asia,,https://www.topuniversities.com/sites/default/files/sophia-university-_592560cf2aeae70239af4e86_small.jpg
19554,801-1000,South Ural State University (National Research University),Russia,Chelyabinsk,Europe,,https://www.topuniversities.com/sites/default/files/south-ural-state-university-national-research-university_592560cf2aeae70239af58d1_small.jpg
807,801-1000,Southern Methodist University,United States,Dallas,North America,,https://www.topuniversities.com/sites/default/files/southern-methodist-university_592560cf2aeae70239af4daa_small.jpg
14749,801-1000,Sumy State University,Ukraine,Sumy,Europe,,https://www.topuniversities.com/sites/default/files/sumy-state-university_592560cf2aeae70239af57c7_small.jpg
25683,801-1000,MATE Hungarian University of Agriculture and Life Sciences,Hungary,Budapest,Europe,,https://www.topuniversities.com/sites/default/files/210803123442pm235473mate-2021-en-green-48x48.jpg
25685,801-1000,Szechenyi Istvan University (University of Gyor),Hungary,Győr,Europe,,https://www.topuniversities.com/sites/default/files/210825073941am374202sze-logo-allo-RGB-dark-blue-bg-48x48.jpg
161,801-1000,TU Dortmund University,Germany,Dortmund,Europe,,https://www.topuniversities.com/sites/default/files/tu-dortmund-university_592560cf2aeae70239af4b24_small.jpg
25597,801-1000,Technical University of Kosice,Slovakia,Košice,Europe,,https://www.topuniversities.com/sites/default/files/technical-university-of-kosice_592560cf2aeae70239af5a56_small.jpg
25671,801-1000,Technical University of Liberec,Czechia,Liberec,Europe,,https://www.topuniversities.com/sites/default/files/technical-university-of-liberec_592560cf2aeae70239af5a5a_small.jpg
165,801-1000,Technological University Dublin,Ireland,Dublin,Europe,,https://www.topuniversities.com/sites/default/files/technological-university-of-dublin_592560cf2aeae70239af4b28_small.jpg
